sku,year,make,model,body_trim,engine_transmission,id
PT90708210MR,null,null,null,null,null,42296
PT90708210MR,null,null,null,null,null,49430
PT90702200DC,null,null,null,null,null,42290
PT90702200DC,null,null,null,null,null,49416
PT90702200MR,null,null,null,null,null,42291
PT90702200MR,null,null,null,null,null,49417
PT90708210MB,null,null,null,null,null,42295
PT90708210MB,null,null,null,null,null,49429
PK96008B03,2023,Toyota,Sienna,"25th Anniversary Edition, LE, Limited, Platinum, Woodland Edition, XLE, XSE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV)",40224
PK96008B03,2022,Toyota,Sienna,"LE, Limited, Platinum, Woodland Edition, XLE, XSE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV)",40226
PK96008B03,2025,Toyota,Sienna,"LE, Limited, Platinum, Woodland Edition, XLE, XSE",2.5L L4 - Electric/Gas,40222
PK96008B03,2024,Toyota,Sienna,"LE, Limited, Platinum, Woodland Edition, XLE, XSE",2.5L L4 - Electric/Gas,40223
PT94435242,2024,Toyota,Tacoma,"Limited, SR, SR5, TRD Off-Road, TRD PreRunner, TRD Sport","2.4L L4 - Electric/Gas, 2.4L L4 - Gas",43313
PK38908M00TR,null,null,null,null,null,40113
PK38908M00TR,null,null,null,null,null,47118
PT83K08210LH,null,null,null,null,null,42286
PT83K08210LH,null,null,null,null,null,49407
PT83K08210RH,null,null,null,null,null,42287
PT83K08210RH,null,null,null,null,null,49408
74101AE010,2015,Toyota,Corolla,"L, LE, LE Eco, S",1.8L L4 - Gas,39921
74101AE010,2012,Scion,xD,Base,1.8L L4 - Gas,40073
74101AE010,2011,Scion,xD,Base,1.8L L4 - Gas,40084
74101AE010,2010,Scion,xD,Base,1.8L L4 - Gas,40094
74101AE010,2009,Scion,xD,Base,1.8L L4 - Gas,40103
74101AE010,2008,Scion,xD,Base,1.8L L4 - Gas,40121
74101AE010,2023,Toyota,Sequoia,"Capstone, Limited, Platinum, SR5, TRD Pro",3.4L V6 - Electric/Gas,39970
74101AE010,2023,Toyota,Sienna,"25th Anniversary Edition, LE, Limited, Platinum, Woodland Edition, XLE, XSE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV)",39971
74101AE010,2023,Toyota,Tacoma,"Limited, SR, SR5, TRD Off-Road, TRD Pro, TRD Sport, Trail Special Edition","2.7L L4 - Gas, 3.5L V6 - Gas",39972
74101AE010,2023,Toyota,Tundra,"1794 Edition, Capstone, Limited, Platinum, SR, SR5, TRD Pro","3.4L V6 - Electric/Gas, 3.4L V6 - Gas, 3.5L V6 - Gas, 3.5L V6 - MILD HYBRID EV-GAS (MHEV)",39973
74101AE010,2021,Toyota,RAV4,"Adventure, Hybrid LE, Hybrid Limited, Hybrid XLE, Hybrid XLE Premium, Hybrid XSE, LE, Limited, TRD Off-Road, XLE, XLE Premium","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas",46957
74101AE010,2021,Toyota,Sienna,"LE, Limited, Platinum, XLE, XSE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV)",39986
74101AE010,2021,Toyota,Tacoma,"Limited, Nightshade, SR, SR5, TRD Off-Road, TRD Pro, TRD Sport, Trail","2.7L L4 - Gas, 3.5L V6 - Gas",39987
74101AE010,2021,Toyota,Tundra,"1794 Edition, Limited, Nightshade, Platinum, SR, SR5, TRD Pro, Trail",5.7L V8 - Gas,39988
74101AE010,2020,Toyota,86,"Base, GT, Hakone Edition",2.0L H4 - Gas,39989
74101AE010,2020,Toyota,C-HR,"LE, Limited, XLE",2.0L L4 - Gas,39990
74101AE010,2020,Toyota,Corolla,"Hybrid LE, L, LE, SE, SE Nightshade, XLE, XSE","1.8L L4 - Electric/Gas, 1.8L L4 - FULL HYBRID EV-GAS (FHEV), 1.8L L4 - Gas, 2.0L L4 - Gas",39991
74101AE010,2020,Toyota,RAV4,"Adventure, Hybrid LE, Hybrid Limited, Hybrid XLE, Hybrid XSE, LE, Limited, TRD Off-Road, XLE, XLE Premium","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas",39992
74101AE010,2017,Toyota,Tacoma,"Limited, SR, SR5, TRD Off-Road, TRD Pro, TRD Sport","2.7L L4 - Gas, 3.5L V6 - Gas",40024
74101AE010,2017,Toyota,Tundra,"1794 Edition, Limited, Platinum, SR, SR5, TRD Pro","4.6L V8 - Gas, 5.7L V8 - Flex, 5.7L V8 - Gas",40025
74101AE010,2014,Toyota,Venza,"LE, Limited, XLE","2.7L L4 - Gas, 3.5L V6 - Gas",40058
74101AE010,2014,Toyota,Yaris,"L, LE, SE",1.5L L4 - Gas,40059
74101AE010,2012,Toyota,FJ Cruiser,Base,4.0L V6 - Gas,40076
74101AE010,2012,Toyota,Highlander,"Base, Hybrid, Hybrid Limited, Limited, SE","2.7L L4 - Gas, 3.5L V6 - Electric/Gas, 3.5L V6 - FULL HYBRID EV-GAS (FHEV), 3.5L V6 - Gas",40077
74101AE010,2012,Toyota,Matrix,"Base, S","1.8L L4 - Gas, 2.4L L4 - Gas",40078
74101AE010,2012,Toyota,Prius,"Five, Four, Three, Two","1.8L L4 - Electric/Gas, 1.8L L4 - FULL HYBRID EV-GAS (FHEV)",40079
74101AE010,2012,Toyota,RAV4,"Base, EV, Limited, Sport","2.5L L4 - Gas, 3.5L V6 - Gas, Electric",40080
74101AE010,2012,Toyota,Sienna,"Base, LE, Limited, SE, XLE","2.7L L4 - Gas, 3.5L V6 - Gas",40081
74101AE010,2012,Toyota,Venza,"LE, Limited, XLE","2.7L L4 - Gas, 3.5L V6 - Gas",40082
74101AE010,2012,Toyota,Yaris,"Base, L, LE, SE",1.5L L4 - Gas,40083
74101AE010,2011,Toyota,Camry,"Base, Hybrid, LE, SE, XLE","2.4L L4 - Electric/Gas, 2.4L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas, 3.5L V6 - Gas",40085
74101AE010,2017,Toyota,Yaris,"L, LE, SE",1.5L L4 - Gas,40026
74101AE010,2017,Toyota,Yaris iA,Base,1.5L L4 - Gas,40027
74101AE010,2019,Toyota,Yaris,"L, LE, XLE",1.5L L4 - Gas,40003
74101AE010,2018,Toyota,86,"Base, GT",2.0L H4 - Gas,40004
74101AE010,2018,Toyota,Avalon,"Hybrid Limited, Hybrid XLE Plus, Hybrid XLE Premium, Limited, Touring, XLE, XLE Plus, XLE Premium","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 3.5L V6 - Gas",40005
74101AE010,2018,Toyota,C-HR,"XLE, XLE Premium",2.0L L4 - Gas,40006
74101AE010,2018,Toyota,Corolla,"L, LE, LE Eco, SE, XLE, XSE",1.8L L4 - Gas,40007
74101AE010,2018,Toyota,Corolla iM,Base,1.8L L4 - Gas,40008
74101AE010,2018,Toyota,Prius C,"Four, One, Three, Two","1.5L L4 - Electric/Gas, 1.5L L4 - FULL HYBRID EV-GAS (FHEV)",40009
74101AE010,2018,Toyota,RAV4,"Adventure, Hybrid Limited, Hybrid SE, Hybrid XLE, LE, Limited, Platinum, SE, XLE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas",40010
74101AE010,2018,Toyota,Sienna,"L, LE, Limited, Limited Premium, SE, SE Premium, XLE, XLE Premium",3.5L V6 - Gas,40011
74101AE010,2018,Toyota,Tacoma,"Limited, SR, SR5, TRD Off-Road, TRD Pro, TRD Sport","2.7L L4 - Gas, 3.5L V6 - Gas",40012
74101AE010,2018,Toyota,Tundra,"1794 Edition, Limited, Platinum, SR, SR5","4.6L V8 - Gas, 5.7L V8 - Flex, 5.7L V8 - Gas",40013
74101AE010,2018,Toyota,Yaris,"L, LE, SE",1.5L L4 - Gas,40014
74101AE010,2018,Toyota,Yaris iA,Base,1.5L L4 - Gas,40015
74101AE010,2017,Toyota,86,"Base, Special Edition",2.0L H4 - Gas,40016
74101AE010,2017,Toyota,Camry,"Hybrid LE, Hybrid SE, Hybrid XLE, LE, SE, XLE, XSE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas, 3.5L V6 - Gas",40017
