sku,name,sale_price,brand,other_names,description,sold_in_quantity,positions,applications,replaces,hazmat,install_time,may_be_required,image_1_url,image_2_url,image_3_url,image_4_url,image_5_url,image_6_url,image_7_url,image_8_url,image_9_url,image_10_url,image_11_url,image_12_url,image_13_url,image_14_url,image_15_url,image_16_url,image_17_url,image_18_url,image_19_url,image_20_url,image_21_url,image_22_url,alto,largo,ancho,volumen,peso,listo,otros_nombres,descripcion,sat_id,category,alias,nombre,handle
PT90708210MR,Sien Ppf Mirror W O - Toyota (PT907-08210-MR),62.65,Toyota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,15,10,300,0.3,null,null,null,null,null,null,"Película protectora para espejos, Sienna",sien-ppf-mirror-w-o-toyota-pt907-08210-mr-pt90708210mr
PT90702200DC,Ppf Door Cups Corola - Toyota (PT907-02200-DC),39.16,Toyota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,10,10,200,0.2,null,null,null,null,null,null,"Película protectora para manijas, Corolla",ppf-door-cups-corola-toyota-pt907-02200-dc-pt90702200dc
PT90702200MR,Ppf Miror Back Corola - Toyota (PT907-02200-MR),62.65,Toyota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,15,10,300,0.3,null,null,null,null,null,null,"Película protectora para espejos, Corolla",ppf-miror-back-corola-toyota-pt907-02200-mr-pt90702200mr
PT90708210MB,Sien Ppf Mirrors W T - Toyota (PT907-08210-MB),62.65,Toyota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,15,10,300,0.3,null,null,null,null,null,null,"Película protectora para espejos con luz, Sienna",sien-ppf-mirrors-w-t-toyota-pt907-08210-mb-pt90708210mb
PK96008B03,Sienna Tow Hitch Converter Accessory - Toyota (PK960-08B03),179.01,Toyota,Trailer Hitch Adapter,Sienna Tow Hitch Converter Accessory Part.,null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/62f8e499a1bd0257af321bb6559c43ac.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,30,15,4500,3,null,Adaptador de enganche para remolque,Accesorio convertidor de remolque para Sienna.. Accesorio de enganche.,null,null,null,Accesorio convertidor de enganche para remolque Sienna,sienna-tow-hitch-converter-accessory-toyota-pk960-08b03-pk96008b03
PT94435242,Side Storage Case - Toyota (PT944-35242),33.56,Toyota,Taco Sdstorbx,The side storage case allows you to store small valuables on the side of the dash. Only available on the driver side. Storage case fits flush with the side of the dash Accessible when the door is open..,null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/8bb46fb025250ac33dd4686b92b2ae4b.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,40,25,15000,2,null,Taco Sdstorbx,El estuche de almacenamiento lateral permite guardar pequeños objetos de valor en el lado del tablero. Solo disponible en el lado del conductor. El estuche encaja a ras con el lado del tablero y es accesible cuando la puerta está abierta.,null,null,null,Caja de almacenamiento lateral,side-storage-case-toyota-pt944-35242-pt94435242
PK38908M00TR,Sien Mudg 4 Black Rear - Toyota (PK389-08M00-TR),30.21,Toyota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,30,20,3000,0.6,null,N/A,null,null,null,null,Salpicaderas traseras Sienna 4 negras,sien-mudg-4-black-rear-toyota-pk389-08m00-tr-pk38908m00tr
PT83K08210LH,Sien Bsm Left Hand 2 - Toyota (PT83K-08210-LH),69.50,Toyota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,120,5,1200,0.5,null,null,null,null,null,null,Moldura lateral Sienna (izquierda),sien-bsm-left-hand-2-toyota-pt83k-08210-lh-pt83k08210lh
PT83K08210RH,Sien Bsm Right Hand - Toyota (PT83K-08210-RH),69.50,Toyota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,120,5,1200,0.5,null,null,null,null,null,null,Moldura lateral Sienna (derecha),sien-bsm-right-hand-toyota-pt83k-08210-rh-pt83k08210rh
74101AE010,Ashtray Kit - Toyota (74101-AE010),14.54,Toyota,Ash Tray,"Self-contained coin holder/ashtray Cup fits conveniently inside the Cupholder.?\
 Hinged lid helps minimize odors and flyaway ashes\
 Easy to empty and Clean\
 Also provides handy storage for coins and other small items\
\
          \
          LIGHTER: Without Lighter Retainer Clip: With Retainer Clip \
          \
          Helps prevent flyaway ash and is convenient for both driver and passenger use. Providing a convenient place for your ashes, it is easy to empty and clean and features a deep tray well with integrated lid. This self-contained unit offers an easily removable ashtray featuring a UV protected plastic cup and hinged lid that fits snugly inside the vehicle’s cup-holder.",null,null,null,08171-47800,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/1c2b859155246273678f2509fab46d2c.webp,https://s3.amazonaws.com/rp-part-images/assets/f5cf6b4b6bfb012689009824a80dd677.webp,https://s3.amazonaws.com/rp-part-images/assets/b3077658690eee41dac34dfa05bc79a6.webp,https://s3.amazonaws.com/rp-part-images/assets/5b3210b3507ab076bc185d673b3fe1bd.webp,https://s3.amazonaws.com/rp-part-images/assets/b15efb0e73cc6b44bb8f50de1bbc860a.webp,https://dz310nzuyimx0.cloudfront.net/strapr1/213771e26e41538231d31859b9d5e64a/5bdba3f17290fc0b408aca936f4c66ab.png,https://dz310nzuyimx0.cloudfront.net/strapr1/213771e26e41538231d31859b9d5e64a/af91f16918d88c7cb44659f4e666cdc5.png,https://dz310nzuyimx0.cloudfront.net/strapr1/213771e26e41538231d31859b9d5e64a/c3914e17646c3f95ee869cd1c52c3438.png,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6,8,8,384,0.3,null,Cenicero,Monedero/cenicero con tapa abatible. Evita cenizas voladoras; fácil de limpiar y extraer. Fabricado en plástico UV resistente.. Cenicero portátil con tapa abatible; ideal para conductor y pasajero.,null,null,null,Kit de cenicero,ashtray-kit-toyota-74101-ae010-74101ae010
PT76735190,"Assist Step, Running Boards, Cast Aluminum - Toyota (PT767-35190)",756.00,Toyota,Running Board,Sturdy running boards provide easy step-up access to the vehicleDurable aluminum construction with slip-resistant coatingSleek design enhances the contours of the vehicle.,null,null,null,PT767-35160,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/a1cbf926d1dab1ecfd9da898cb53e25e.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,180,15,27000,8.5,null,Estribo,Las estriberas laterales resistentes ofrecen un acceso fácil al vehículo. Están fabricadas en aluminio duradero con recubrimiento antideslizante y diseño elegante que complementa las líneas del vehículo.,null,null,null,"Pasos laterales, estribos de aluminio fundido",assist-step-running-boards-cast-aluminum-toyota-pt767-35190-pt76735190
PT92534220,"Assist Steps, Predator Steps - Toyota (PT925-34220)",611.52,Toyota,Tun Tube Step D Cab,"A highly functional and stylish upgrade for your truck, the predator tube step complements the Tundra's rugged design and improves access to the cab.•Black powder-coated finish•Drop steps for easy access•Durable, 6061 aluminum construction is chip-and rust-resistant.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/909743c988f0fd7ded6d2eac6237b490.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,180,15,40500,12,null,Tundra tubo lateral doble cabina,"Un paso tubular depredador que combina funcionalidad y estilo para tu Tundra. Complementa el diseño robusto del vehículo y mejora el acceso a la cabina. Acabado negro con recubrimiento en polvo, escalones antideslizantes y construcción de aluminio resistente a astilladuras y óxido.",null,null,null,"Pasos de ayuda, estilo Predator",assist-steps-predator-steps-toyota-pt925-34220-pt92534220
PT92534222,"Assist Steps, Running Boards - Toyota (PT925-34222)",520.80,Toyota,Tun Rbrd D Cab Alum,"Add style and function with a set of silver dual step running boards. They make it easier to step into the cab, and they complement the rugged good looks of the Tundra.  •Skid-resistant step pads help ensure secure footing •Sleek design enhances the finished look of the vehicle.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/257e14fb0d10b9646093e61deb5903af.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,180,15,40500,12,null,Tundra estribos de aluminio doble cabina,Agrega estilo y funcionalidad con unos estribos laterales de doble escalón en color plata. Facilitan la entrada a la cabina y complementan el diseño robusto del Tundra. Almohadillas antideslizantes y diseño elegante que mejora la apariencia general del vehículo.,null,null,null,"Pasos de ayuda, estribos",assist-steps-running-boards-toyota-pt925-34222-pt92534222
PT92534224,"Assist Steps, Running Boards - Toyota (PT925-34224)",520.80,Toyota,Tun Rbrd Alum Ext D,"Add style and function with a set of silver dual step running boards. They make it easier to step into the cab, and they complement the rugged good looks of the Tundra.•Skid-resistant step pads help ensure secure footing•Sleek design enhances the finished look of the vehicle.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/fe4c120c63ceab4f4cabe965ebd8f586.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,180,15,40500,12,null,Tundra estribos aluminio extendidos,Agrega estilo y funcionalidad con unos estribos laterales de doble escalón en color plata. Facilitan la entrada a la cabina y complementan el diseño robusto del Tundra. Almohadillas antideslizantes y diseño elegante que mejora la apariencia general del vehículo.,null,null,null,"Pasos de ayuda, estribos",assist-steps-running-boards-toyota-pt925-34224-pt92534224
