product_uuid,product_name,category_uuid,category_name
9bd6354a-523c-4bf2-9106-81613b0d50af,PARRILLA CON LUCES LED TOYOTA TACOMA,1ccb6f60-7143-4ae7-9594-99d609f946f6,Foco LED
53ad827e-0f9d-4010-8cab-766cf1528035,LUCES DRL PARA TOYOTA TACOMA,ab15057d-d440-4441-b3be-7013fce349d8,Luces antiniebla
a61b3811-09c2-43ed-9097-3fcd7ddde0c0,THULE FORCE XTM PARA TOYOTA,b5bffdd9-0c8f-4ed6-9baa-08ac456da26d,Thule
1a9e9111-1fc5-47d6-b939-e5553b4c6cbc,UNDERCOVER ULTRA FLEX PARA TOYOTA TACOMA,,Sin categoría
beb46541-5691-4de0-a8cb-c89327aab33f,TAPA ULTRA FLEX PARA TOYOTA HILUX,cc2dc414-eb3b-4340-a1fa-e3938e59e74c,Rin y tapa de rin
f8407dbb-bd3a-4f0e-a540-68e6c7f18eb0,KIT DE INSTALACION CAPROCK CROSSBAR,1e9a436f-88a7-4b05-afdf-d77f214f157d,Body kit
67798484-adfb-4553-80cf-cae4ad9a38e9,CANASTILLA PARA TOYOTA XT,9c3e9b81-311e-42f5-a3b1-65c634ff2c92,Canastilla de techo
36dda839-1ad0-4eb6-b97b-ac64d2b6efe5,ESTRIBOS ELECTRICOS PARA TOYOTA,1a7bf761-64f4-4c6f-afc7-cb4d8e602e77,Estribos
3554ec6c-fb64-4a25-8224-a267029a93ae,ROLL BAR SPORT 2.0 (FULL SIZE) PARA TOYOTA,,Sin categoría
6cf82e4e-a26a-4c13-8fab-6ad5f36ed6ea,BARRAS SPORT BAR 2.0 BLACK PARA TOYOTA,7418d2c5-b9e3-44c1-8ff1-b846ec5caa6a,Barra de luz
52c7900a-4cac-4fe7-acc9-e51bc2583789,JUEGO BARRA DE ALUMINIO WINGBAR TOYOTA,7418d2c5-b9e3-44c1-8ff1-b846ec5caa6a,Barra de luz
6d6fc9d6-7f72-4ada-9eb5-faa8a0ee90e3,HITCH TIRON CLASE III PARA TOYOTA,,Sin categoría
f004e674-172b-43f5-940f-419de790d985,SPORT BAR 2.0 PARA NEW TOYOTA TACOMA,,Sin categoría
2c8a8ce0-60e5-4729-be65-371ebf308034,BEDLINER CON LOGO PARA TOYOTA HILUX,31628bf1-d2d1-4d21-9785-ec916b030f3a,Parachoques trasero con escalón
0e5741ea-8537-40dd-9aea-256bb7580fd3,KIT MOUNTS,1e9a436f-88a7-4b05-afdf-d77f214f157d,Body kit
d78ab622-d485-45f4-8173-738132530019,THULE REFACCION,b5bffdd9-0c8f-4ed6-9baa-08ac456da26d,Thule
25ba0400-5b3e-43ce-8613-db807b5b642d,ROLL AND LOCK XT TOYOTA TACOMA 5FT NEW,,Sin categoría
fbdc9f82-d5a1-49c6-92da-b23d4b9ecbd4,HUSKY AEROSKIN LOW HOOD HILUX,,Sin categoría
9e9c4fad-73ad-48a5-b543-d777967dd33c,HUSKY AEROSKIN LOW HOOD RAV 4,,Sin categoría
